Value,_name,_oid,_valueType
Proxy Ver3.1,sysDescr.0,.1.3.6.1.2.1.1.1.0,OctetString
.1.3.6.1.4.1.3222.14.2.1.1,sysObjectID.0,.1.3.6.1.2.1.1.2.0,OID
459 hours 12 minutes 8 seconds (165312800),sysUpTime.0,.1.3.6.1.2.1.1.3.0,TimeTicks
support@electroline.com,sysContact.0,.1.3.6.1.2.1.1.4.0,OctetString
SNMPProxy,sysName.0,.1.3.6.1.2.1.1.5.0,OctetString
electroline lab,sysLocation.0,.1.3.6.1.2.1.1.6.0,OctetString
69,sysServices.0,.1.3.6.1.2.1.1.7.0,Integer
0,.1.3.6.1.4.1.3222.4.1.1.0,.1.3.6.1.4.1.3222.4.1.1.0,Integer
0,.1.3.6.1.4.1.3222.4.1.2.0,.1.3.6.1.4.1.3222.4.1.2.0,Integer
0,.1.3.6.1.4.1.3222.4.1.3.0,.1.3.6.1.4.1.3222.4.1.3.0,Integer
0,.1.3.6.1.4.1.3222.4.1.4.0,.1.3.6.1.4.1.3222.4.1.4.0,Integer
1,.1.3.6.1.4.1.3222.4.1.5.0,.1.3.6.1.4.1.3222.4.1.5.0,Integer
0,.1.3.6.1.4.1.3222.4.1.6.0,.1.3.6.1.4.1.3222.4.1.6.0,Integer
0,.1.3.6.1.4.1.3222.4.1.7.0,.1.3.6.1.4.1.3222.4.1.7.0,Integer
0,.1.3.6.1.4.1.3222.4.1.8.0,.1.3.6.1.4.1.3222.4.1.8.0,Integer
0,.1.3.6.1.4.1.3222.4.1.9.0,.1.3.6.1.4.1.3222.4.1.9.0,Integer
1,oneU1550StatusIndex.1,.1.3.6.1.4.1.3222.4.6.1.1.1.1,Integer
8081,oneU1550StatusDEVICEADDRESS.1,.1.3.6.1.4.1.3222.4.6.1.1.2.1,Integer
0,oneU1550StatusSUBID.1,.1.3.6.1.4.1.3222.4.6.1.1.3.1,Integer
6,oneU1550StatusVersion.1,.1.3.6.1.4.1.3222.4.6.1.1.4.1,Integer
0.4 mA,oneU1550StatusLaserIM.1,.1.3.6.1.4.1.3222.4.6.1.1.5.1,OctetString
17.0 C,oneU1550StatusLaserTemp.1,.1.3.6.1.4.1.3222.4.6.1.1.6.1,OctetString
253.4 mA,oneU1550StatusLaserBias.1,.1.3.6.1.4.1.3222.4.6.1.1.7.1,OctetString
-7.9 dB,oneU1550StatusRFModulationLevel.1,.1.3.6.1.4.1.3222.4.6.1.1.8.1,OctetString
23.4 V,oneU1550StatusDC24V.1,.1.3.6.1.4.1.3222.4.6.1.1.9.1,OctetString
11.3 V,oneU1550StatusDC12V.1,.1.3.6.1.4.1.3222.4.6.1.1.10.1,OctetString
5.1 V,oneU1550StatusDC5V.1,.1.3.6.1.4.1.3222.4.6.1.1.11.1,OctetString
-5.0 V,oneU1550StatusDCM5V.1,.1.3.6.1.4.1.3222.4.6.1.1.12.1,OctetString
8.6 dBm,oneU1550StatusTxOpticalPower.1,.1.3.6.1.4.1.3222.4.6.1.1.13.1,OctetString
AGC,oneU1550StatusGain_Control_Mode.1,.1.3.6.1.4.1.3222.4.6.1.1.14.1,OctetString
+18 dBm,oneU1550StatusSBS_CONTROL.1,.1.3.6.1.4.1.3222.4.6.1.1.15.1,OctetString
VIDEO,oneU1550StatusCTB_CONTROL.1,.1.3.6.1.4.1.3222.4.6.1.1.16.1,OctetString
-7.9 dB,oneU1550StatusModuleLevel.1,.1.3.6.1.4.1.3222.4.6.1.1.17.1,OctetString
NORMAL,oneU1550StatusPresentPower1.1,.1.3.6.1.4.1.3222.4.6.1.1.18.1,OctetString
FAILURE 2,oneU1550StatusPresentPower2.1,.1.3.6.1.4.1.3222.4.6.1.1.19.1,OctetString
DUAL,oneU1550StatusPOWERMode.1,.1.3.6.1.4.1.3222.4.6.1.1.20.1,OctetString
1,oneU1550AlarmIndex.1,.1.3.6.1.4.1.3222.4.6.2.1.1.1,Integer
