Value,_name,_oid,_valueType
blapp-HfcAgentE-OA3,sysDescr.0,.1.3.6.1.2.1.1.1.0,OctetString
.1.3.6.1.4.1.17409.1.11,sysObjectID.0,.1.3.6.1.2.1.1.2.0,OID
358 hours 17 minutes 27 seconds (128984755),sysUpTime.0,.1.3.6.1.2.1.1.3.0,TimeTicks
   ,sysContact.0,.1.3.6.1.2.1.1.4.0,OctetString
  ,sysName.0,.1.3.6.1.2.1.1.5.0,OctetString
  ,sysLocation.0,.1.3.6.1.2.1.1.6.0,OctetString
73,sysServices.0,.1.3.6.1.2.1.1.7.0,Integer
disabled (2),snmpEnableAuthenTraps.0,.1.3.6.1.2.1.11.30.0,Integer
.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.1.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.1.11.1.3.6.1.4.1.17409.1.11.2.0,OID
.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.1.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.1.11.1.3.6.1.4.1.17409.1.11.3.0,OID
.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.1.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.1.12.1.3.6.1.4.1.17409.1.3.1.13.0,OID
.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,OID
.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,OID
.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,OID
.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,OID
.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,OID
.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,OID
.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,OID
.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,OID
.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,OID
.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.1.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,OID
