nodeid,ipaddr,nodeid,serialnumber,description,nodecreatetime,nodesysoid,nodelabel,nodeid,nodelabelsource,lastcapsdpoll
1,69.70.200.238,1,,,2015-09-17 18:05:31.723-04,.1.3.6.1.4.1.9.1.344,UBR-Demo,1,S,2015-09-17 18:05:47.161-04
2,10.100.0.6,2,,,2015-09-17 18:05:42.427-04,,locator-demo,2,H,2015-09-17 18:05:47.474-04
3,10.100.0.7,3,,,2015-09-17 18:05:42.575-04,.1.3.6.1.4.1.311.1.1.3.1.1,PCNMS,3,S,2015-09-17 18:05:56.029-04
4,10.100.0.50,4,,,2015-09-17 18:06:06.074-04,.1.3.6.1.4.1.3222.14.2.1.1,SNMPProxy,4,S,2015-09-18 12:56:32.618-04
5,10.100.0.80,5,,,2015-09-17 18:06:15.889-04,.1.3.6.1.4.1.5591.29317.1.11.1.3.1.1,"ELink,Optical headend platform",5,S,2015-09-22 16:20:09.605-04
7,10.100.0.102,7,"","",2015-09-17 18:07:26.143-04,.1.3.6.1.4.1.17409.1.11,10.100.0.102,7,A,2015-09-18 12:49:43.343-04
8,10.100.0.199,8,,,2015-09-17 18:09:04.505-04,,PCPCPCPC-PC,8,H,2015-09-17 18:09:04.947-04
9,10.100.0.40,9,,,2015-09-22 16:48:54.428-04,,ETEST1,9,U,
11,10.100.0.184,11,,,2015-09-25 16:27:33.7-04,,PCAELBAHRI,11,H,2015-09-25 16:27:34.296-04
System time: 2015-10-21 08:46:25
These data are generated by Electroline Rapid NMS Portal
2015 Electroline Equipment Inc. All rights reserved.
