nodeid,ipaddr,serviceid,iflostservice,ifregainedservice,nodelabel,nodeid,nodesysoid
1,10.2.0.1,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.231,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.3.0.1,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.3.0.1,3,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.3.0.1,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.228,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.228,3,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.228,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.2.0.1,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.2.0.1,3,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.231,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.229,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.229,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.100.0.1,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.100.0.1,3,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,10.100.0.1,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.238,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.238,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.239,1,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
1,69.70.200.239,2,2015-09-17 18:44:16.585-04,2015-09-18 11:45:32.168-04,UBR-Demo,1,.1.3.6.1.4.1.9.1.344
